agency,description,name,price
Coldwell Banker Realty,"{'Beds': '5', 'Baths': '5', 'Sq.Ft.': '5,581'}",28430 N 157 Ave Saguaro Views (Hollow Way Estates),"$2,500,000"
Exp Realty,"{'Beds': '4', 'Baths': '4', 'Sq.Ft.': '5,114'}",29537 N 155th Ave  ,"$2,489,000"
West Usa Realty,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '2,659'}",17117 W Dale Ln Metes & Bounds,"$2,100,000"
RE/MAX Desert Showcase,"{'Beds': '3', 'Baths': '4', 'Sq.Ft.': '3,479'}",17432 W Montpelier St Sterling Grove,"$1,798,000"
Berkshire Hathaway Homeservices Arizona Properties,"{'Beds': '4', 'Baths': '6', 'Sq.Ft.': '7,249'}",13630 W Peoria Ave  ,"$1,750,000"
"Weichert, Realtors - Rattler","{'Beds': '3', 'Baths': '4', 'Sq.Ft.': '3,479'}",11835 N Casa Dega Dr Toll At Prasada Phase 2 Unit P,"$1,449,000"
The Brokery,"{'Beds': '3', 'Baths': '4', 'Sq.Ft.': '2,727'}",11873 N San Clemente St Toll At Prasada Phase 1 Unit A,"$1,395,000"
Exp Realty,"{'Beds': '7', 'Baths': '6', 'Sq.Ft.': '4,580'}",35729 W Redondo Dr  ,"$1,199,999"
"Rockstar Realty Az, Llc","{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '2,432'}",3318 N 427th Ave  ,"$995,000"
Superlative Realty,"{'Beds': '6', 'Baths': '7', 'Sq.Ft.': '5,020'}",39410 W Avalon Dr West Phoenix Estates Unit 7,"$800,000"
Delex Realty,"{'Beds': '5', 'Baths': '4', 'Sq.Ft.': '3,474'}",5427 N 377 Ave Coyote Ridge Lot 69,"$740,000"
Realty Executives Arizona Territory,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,882'}",2319 Balderrain Ln Tubac Valley Country Club Estates,"$879,000"
Realty One Group Integrity,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '2,250'}",133 Vaquero Vista Ct The Ranch At Aliso Springs,"$840,000"
Russ Lyon Sotheby's Internatio,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,563'}",1611 Golden Gate Way Barrio Embarcadero,"$345,000"
Russ Lyon Sotheby's Internatio,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,563'}",1612 Golden Gate Way Barrio Embarcadero,"$358,000"
Realty Executives Arizona Territory,"{'Beds': '2', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '4,417'}",2 Burruel St Tubac Townsite,"$675,000"
Exp Realty,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,691'}",15576 W Dale Ln Hendricks Estates,"$1,299,000"
