agency,description,name,price
Network Realty,"Maricopa,  AZ 85139",12275 N Hidden Valley Rd,"$795,000"
Southwest Property Sales & Leasing,"Maricopa,  AZ 85138",40698 W Hall Dr,"$675,000"
My Home Group Real Estate,"Maricopa,  AZ 85139",44559 W High Desert Trl,"$650,000"
RE/MAX Alliance Group,"Maricopa,  AZ 85139",44572 W Granite Dr,"$649,990"
Richmond American Homes,"Maricopa,  AZ 85138",40532 W Desert Fairways Dr,"$619,995"
Richmond American Homes,"Maricopa,  AZ 85138",22303 N Daniel Dr,"$614,995"
Moxie Real Estate,"Maricopa,  AZ 85139",44568 W Granite Dr,"$609,000"
My Home Group Real Estate,"Maricopa,  AZ 85138",20286 N Valencia Dr,"$600,000"
Realty One Group,"Maricopa,  AZ 85138",20581 N Enchantment Pass,"$599,999"
Richmond American Homes,"Maricopa,  AZ 85138",22361 N Daniel Dr,"$599,995"
The Maricopa Real Estate Co,"Maricopa,  AZ 85139",20727 N La Entrada Rd,"$599,900"
West Usa Realty,"Maricopa,  AZ 85138",21210 N Festival Ln,"$595,000"
Southwest Preferred Properties,"Goodyear,  AZ 85395",3462 N 164th Ave,"$1,589,000"
Berkshire Hathaway Homeservices Arizona Properties,"Goodyear,  AZ 85338",16827 W Lower Buckeye Rd,"$1,550,000"
Realty One Group,"Goodyear,  AZ 85395",16401 W Monterey Way,"$1,395,000"
Realty One Group,"Goodyear,  AZ 85395",16779 W Holly St,"$1,365,000"
Berkshire Hathaway Homeservices Arizona Properties,"Goodyear,  AZ 85338",16827 W Lower Buckeye Rd,"$1,289,777"
West Usa Realty,"Goodyear,  AZ 85395",16752 W Virginia Ave,"$1,199,000"
Coldwell Banker Realty,"Goodyear,  AZ 85338",17696 W Paseo Way,"$1,174,999"
West Usa Realty,"Goodyear,  AZ 85338",18121 W San Esteban Dr,"$1,150,000"
Realty One Group,"Goodyear,  AZ 85395",16114 W Cambridge Ave,"$1,100,000"
Phx Pro Realty,"Goodyear,  AZ 85395",2729 N 168th Ave,"$1,097,000"
Pebblecreek Properties Limited,"Goodyear,  AZ 85395",16779 W Fairmount Ave,"$1,030,791"
Tri Pointe Homes Arizona Realty,"Goodyear,  AZ 85395",18112 W Meadowbrook Ave,"$989,265"
Realty One Group,"Tempe,  AZ 85284",12802 S 71st St,"$3,000,000"
West Usa Realty,"Tempe,  AZ 85284",1020 E Caroline Ln,"$2,700,000"
Your Home Sold Guaranteed Realty,"Tempe,  AZ 85284",1070 E Buena Vista Dr,"$2,400,000"
Azarchitecture/Jarson & Jarson,"Tempe,  AZ 85281",221 E 14th St,"$2,350,000"
Platinum Realty Network,"Tempe,  AZ 85281",120 E Rio Salado Parkway #802,"$1,700,000"
"W And Partners, Llc","Tempe,  AZ 85284",1204 E Secretariat Dr,"$1,625,000"
West Usa Realty,"Tempe,  AZ 85284",8315 S Homestead Ln,"$1,595,000"
Homesmart,"Tempe,  AZ 85284",322 W Knight Ln,"$1,200,000"
Realty Executives,"Tempe,  AZ 85281",140 E Rio Salado Parkway #803,"$1,150,000"
Realty Executives,"Tempe,  AZ 85283",1017 E Sandpiper Dr,"$1,100,000"
"Opendoor Brokerage, Llc","Tempe,  AZ 85283",1307 E Whalers Way,"$1,030,000"
Launch Powered By Compass,"Tempe,  AZ 85281",140 E Rio Salado Parkway #106,"$1,017,000"
